feature,correlation_with_esi,absolute_correlation
cc_edema,-0.018034528656069464,0.018034528656069464
cc_ribpain,0.017895653760109202,0.017895653760109202
cc_footswelling,0.01689619682995181,0.01689619682995181
cc_breastpain,0.01650535040157393,0.01650535040157393
cc_overdose-accidental,-0.015365995219208568,0.015365995219208568
cc_addictionproblem,-0.015080396685494242,0.015080396685494242
cc_abdominaldistention,-0.014743029631457218,0.014743029631457218
cc_pelvicpain,0.014664685070194389,0.014664685070194389
cc_extremityweakness,-0.014406551306286224,0.014406551306286224
cc_ingestion,-0.013929930692599594,0.013929930692599594
cc_vaginalpain,0.01347423770712921,0.01347423770712921
cc_pain,0.013352898506123433,0.013352898506123433
cc_assaultvictim,0.012502874842725996,0.012502874842725996
cc_urinaryfrequency,0.012000663118423585,0.012000663118423585
cc_maleguproblem,0.011772144216450005,0.011772144216450005
cc_headlaceration,0.01159668279915593,0.01159668279915593
cc_oralswelling,0.011560709557035854,0.011560709557035854
cc_headachere-evaluation,-0.01082753747677038,0.01082753747677038
cc_epistaxis,0.010743321922316081,0.010743321922316081
cc_chesttightness,-0.010680764840555513,0.010680764840555513
cc_multiplefalls,-0.010676268698053867,0.010676268698053867
cc_jawpain,0.010622096883520612,0.010622096883520612
cc_nausea,-0.010509051006879351,0.010509051006879351
cc_constipation,0.010304482032657403,0.010304482032657403
cc_fulltrauma,-0.009942691770853058,0.009942691770853058
cc_armswelling,0.009680604089453496,0.009680604089453496
cc_blurredvision,-0.008466575466667398,0.008466575466667398
cc_wheezing,0.008455749908022982,0.008455749908022982
cc_abdominalpainpregnant,-0.00841339572767738,0.00841339572767738
cc_swallowedforeignbody,-0.008410608316837986,0.008410608316837986
cc_woundinfection,0.008359309506663037,0.008359309506663037
cc_dehydration,-0.00835375124855447,0.00835375124855447
cc_hematuria,-0.008218175366174724,0.008218175366174724
cc_diarrhea,-0.008173985814079066,0.008173985814079066
cc_rectalpain,0.008169014478442878,0.008169014478442878
cc_numbness,-0.007123132988775598,0.007123132988775598
cc_rectalbleeding,-0.007008666305813734,0.007008666305813734
cc_influenza,0.006879620799229846,0.006879620799229846
cc_panicattack,0.006580168255974192,0.006580168255974192
cc_testiclepain,-0.0064663626236259346,0.0064663626236259346
cc_groinpain,0.006047948938526191,0.006047948938526191
cc_abdominalcramping,0.005961946374195213,0.005961946374195213
cc_cellulitis,0.005714868767886424,0.005714868767886424
cc_migraine,0.00523172368012361,0.00523172368012361
cc_follow-upcellulitis,0.005192183176765127,0.005192183176765127
cc_hyperglycemia,-0.004973891912985091,0.004973891912985091
cc_medicalproblem,-0.004940962973843683,0.004940962973843683
cc_epigastricpain,-0.004664471287028938,0.004664471287028938
cc_motorcyclecrash,0.004604997142750057,0.004604997142750057
cc_fall,0.004462227285078937,0.004462227285078937
